AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
INSR Insulin receptor,X02160_at
TCRA T cell receptor alpha-chain,X02883_at
ADH2 Alcohol dehydrogenase 2 (class I), beta polypeptide,X03350_at
GNB1 Guanine nucleotide binding protein (G protein), beta polypeptide 1,X04526_at
CR1 Complement component (3b/4b) receptor 1, including Knops blood group system,X05309_at
COL4A2 Collagen, type IV, alpha 2,X05610_at
COL2A1 Collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital),X06268_at
CD20 RECEPTOR,X07203_at
Hnrnp a1 protein gene extracted from Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1,X12671_rna1_at
GABRA1 Gamma-aminobutyric acid (GABA) A receptor, alpha 1,X14766_at
MANNOSE-BINDING PROTEIN C PRECURSOR,X15422_at
GB DEF = PTR7 mRNA for repetitive sequence,X15675_at
ZNF44 Zinc finger protein 44 (KOX 7),X16281_at
HGF Hepatocyte growth factor (hepapoietin A; scatter factor),X16323_at
Cytochrome P-450IID (clone pMP33),X16866_at
HOX 5.1 gene for HOX 5.1 protein,X17360_rna1_at
RNA for type VI collagen alpha3 chain,X52022_at
Sialophorin (CD43),X52075_rna1_at
MUC1 Mucin 1, transmembrane,X52228_at
CYP11B2 Cytochrome P450 XIB2 (aldosterone synthase),X54741_at
C-erbA-1 mRNA for thyroid hormone receptor alpha,X55005_rna1_at
ECP gene for eosinophil cationic protein,X55990_rna1_at
HLA-E MHC class I antigen HLA-E,X56841_at
GL105 gene (histone H2B) extracted from H.sapiens genes for histones H2B.1 and H2A,X57985_rna2_at
GATA3 GATA-binding protein 3,X58072_at
ZFX Zinc finger protein, X-linked,X59739_at
GTF2E1 General transcription factor TFIIE alpha subunit, 56 kD,X63468_at
APT1 Apoptosis (APO-1) antigen 1,X63717_at
GB DEF = HGMP07I gene for olfactory receptor,X64994_at
RETINOIC ACID RECEPTOR RXR-BETA,X65463_at
HETEROGENOUS NUCLEAR RIBONUCLEOPROTEIN U,X65488_at
GB DEF = HGMP07E gene for olfactory receptor,X65857_at
MYBL1 V-myb avian myeloblastosis viral oncogene homolog-like 1,X66087_at
DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex),X66785_at
ADRB3 Adrenergic, beta-3-, receptor,X70811_at
ERGIC-53 PROTEIN PRECURSOR,X71661_at
HNRPK Heterogeneous nuclear ribonucleoprotein K,X72727_at
Transcriptional activator hSNF2a,X72889_at
HPTPA mRNA,X73478_at
HBF-1 mRNA for transcription factor,X74142_at
IMMEDIATE-EARLY RESPONSE PROTEIN NOT,X75918_at
M1S1 Membrane component, chromosome 1, surface marker 1 (40kD glycoprotein, identified by monoclonal antibody GA733),X77753_at
MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 1,X78338_at
NEUTROPHIL ACTIVATING PROTEIN ENA-78 PRECURSOR,X78686_at
ZNF9 Zinc finger protein 9 (a cellular retroviral nucleic acid binding protein),X78932_at
GRM4 Glutamate receptor, metabotropic 4,X80818_at
EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR SUBUNIT 1,X81625_at
MN1 mRNA,X82209_at
Voltage-activated sodium channel,X82835_at
LI-cadherin,X83228_at
Methyl CpG binding protein 2,X89430_at
MUSCLE-SPECIFIC DNASE I-LIKE PRECURSOR,X90392_at
GB DEF = Ncx1 gene (exon 1),X92368_at
TBP-associated factor (hTAFII100) mRNA, partial cds,X95525_at
GB DEF = ArgBPIB protein,X95677_at
Nuclear orphan receptor mRNA,X99975_at
APP Amyloid A4 protein of Alzheimers disease,Y00264_at
B4B,Y07909_at
GB DEF = Transcription factor TBX5,Y09445_at
TOP2B Topoisomerase (DNA) II beta (180kD),Z15115_at
SLC6A6 Solute carrier family 6 (neurotransmitter transporter, taurine), member 6,Z18956_at
GPV gene encoding platelet glycoprotein V precursor,Z23091_rna1_at
GB DEF = 43 kDa inositol polyphosphate 5-phosphatase,Z31695_at
MMP2 Matrix metalloproteinase 2,Z48482_at
COL1A1 Collagen, type I, alpha 1,Z74615_at
KIAA0220 gene, partial cds,D86974_at
Mucin 4, Tracheobronchial,HG2157-HT2227_at
GBA Glucosidase, beta; acid (includes glucosylceramidase),J03060_at
GB DEF = Core 2 beta-1,6-N-acetylglucosaminyltransferase (core 2 GnT) gene, exon 1,L41390_at
IGH@ gene (Ig Dxp heavy-chain gene) extracted from Human Ig germline H-chain D-region Dxp1 and Dxp1 genes, 3 end,M37485_cds1_at
Gamma-aminobutyric acidA receptor alpha 2 subunit [human, fetal brain, mRNA, 2189 nt],S62907_s_at
DNA for GPI-anchored molecule-like protein,AB000381_s_at
HOGG1 mRNA,AB000410_s_at
GB DEF = BMAL1d, partial cds,AB000816_s_at
GB DEF = Clock, partial cds,AB005535_s_at
DENN mRNA,AB002356_s_at
Protein encoded by a candidate gene, DXS6673E, for mental retardation,X95808_s_at
RPLP2 Hemoglobin, beta,Y12393_s_at
GB DEF = Galectin-4,AB006781_s_at
Galectin,Z49107_s_at
Clone lambda 5 semaphorin mRNA,AC000063_s_at
A-589H1.2 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA,AC002045_xpt2_s_at
Transducin gamma subunit [human, mRNA, 408 nt],S62027_s_at
GB DEF = PAC clone DJ327A19 from Xq25-q26, complete sequence,AC002477_s_at
RAD23A gene (human RAD23A homolog) extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence,AD000092_cds7_s_at
MYH11 Myosin, heavy polypeptide 11, smooth muscle,D10667_s_at
Uncoupling protein 3 mRNA,AF001787_s_at
GB DEF = Cerebrin-50=cerebrospinal fluid protein [human, cerebral brain, mRNA, 2295 nt],S76853_s_at
Integrin cytoplasmic domain associated protein (Icap-1a) mRNA,AF012024_s_at
GB DEF = Lysosomal hyaluronidase,AJ000099_s_at
CYP3A7 Cytochrome P450 IIIA7 (P450-HFLa),D00408_at
CYP3A7 Cytochrome P450 IIIA7 (P450-HFLa),D00408_s_at
CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3),D00003_at
CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3),D00003_s_at
PrP gene, exon 2,X83416_s_at
MACROPHAGE INFLAMMATORY PROTEIN 1-ALPHA PRECURSOR,M23178_s_at
APCS Amyloid P component, serum,D00097_s_at
UPA gene,X02419_rna1_s_at
ELASTASE IIIA PRECURSOR,M18700_s_at
ANX6 Annexin VI (p68),Y00097_s_at
T-CELL ANTIGEN CD7 PRECURSOR,M37271_s_at
T-CELL ANTIGEN CD7 PRECURSOR,D00749_s_at
PRPS1 Phosphoribosyl pyrophosphate synthetase 1,X15331_s_at
FACL1 Long chain fatty acid acyl-coA ligase,L09229_s_at
POU1F1 POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1),X62429_s_at
Zinc finger homeodomain protein (ATBF1-A) mRNA,L32832_s_at
PKLR Pyruvate kinase, liver,D10326_s_at
MPZ Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B),D10537_s_at
MPZ Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B),L24893_s_at
FPRL2 Formyl peptide receptor-like 2,D10922_s_at
PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG,L06797_s_at
CMKBR1 Chemokine (C-C) receptor 1,L09230_s_at
PTPN7 Protein tyrosine phosphatase, non-receptor type 7,D11327_s_at
LTB4H Leukotriene B4 omega hydroxylase (cytochrome P450, subfamily IVF),D12620_s_at
AMPD3 Adenosine monophosphate deaminase (isoform E),D12775_s_at
CNP 2,3-cyclic nucleotide 3 phosphodiesterase,M19650_s_at
CNP 2,3-cyclic nucleotide 3 phosphodiesterase,S50017_s_at
PKLR Pyruvate kinase, liver,M15465_s_at
SDC4 Syndecan 4 (amphiglycan, ryudocan),D79206_s_at
Transcription Factor E4tf1, Respiratory, Gamma 2 Subunit, Alt. Splice 4,HG1686-HT4572_s_at
Tumor-associated 120 kDa nuclear protein p120, partial cds(carboxyl terminus),D13413_rna1_s_at
KIAA0006 gene,D13631_s_at
GB DEF = KIAA0013 gene,D13638_s_at
Osteoblast specific factor 2 (OSF-2os),D13666_s_at
Fatty acids omega-hydroxylase (cytochrome P-450HKV),D13705_s_at
TYROSINE-PROTEIN KINASE ITK/TSK,D13720_s_at
AGTR1 Angiotensin receptor 1,D13814_s_at
Carboxyl Methyltransferase, Aspartate, Alt. Splice 1,HG1400-HT1400_s_at
Peptide Yy,HG2348-HT2444_s_at
Chromosomal-Translocation Associated Gene Ltg19/Enl,HG3362-HT3539_s_at
Epimorphin,HG1699-HT1704_s_at
Metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9) mRNA,U41766_s_at
CREM CAMP responsive element modulator,D14826_s_at
CREM CAMP responsive element modulator,S68271_s_at
Camp-Responsive Element Modulator, Alt. Splice 1,HG2075-HT2137_s_at
GB DEF = Ltk mRNA,X52213_s_at
PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,Z49835_s_at
Transformation-Related Protein,HG4541-HT4946_s_at
CPO Coproporphyrinogen oxidase (coproporphyria, harderoporphyria),D16611_s_at
LTG9/MLLT3 mRNA, C-terminal,D16688_s_at
GB DEF = Fifth somatostatin receptor subtype,D16827_s_at
Calponin,D17408_s_at
DSC3 Desmocollin 3,X83929_s_at
Drebrin E,U00802_s_at
GB DEF = RNA helicase,Z11685_s_at
DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2),S69231_s_at
Zona-pellucida-binding protein (sp38),D17570_s_at
GB DEF = DNA for exon encoding for N-acetylglucosaminyltransferase V (340 bp),X91653_s_at
Ovary- and prostate-specific exon 1 from  Human cytochrome P-450 aromatase gene, multiple exons 1 and exon 2./ntype=DNA /annot=exon,D21241_xpt1_s_at
Type 1 inositol 1,4,5-trisphosphate receptor,U23850_s_at
Transcriptional activator hSNF2a,D26155_s_at
Transcriptional activator hSNF2b,D26156_s_at
LIMK1 gene (LIM-kinase1) extracted from Human LIM-kinase1 and alternatively spliced LIM-kinase1 (LIMK1) gene,U62293_rna1_s_at
SIAT8 Sialyltransferase 8 (alpha-N-acetylneuraminate: alpha-2,8-sialytransferase, GD3 synthase),X77922_s_at
KIAA0007 gene, partial cds,D87716_s_at
DLST Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),D26535_s_at
PTGS2 Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),L15326_s_at
Cyclooxygenase-2 (hCox-2) gene,D28235_s_at
IARS Isoleucine-tRNA synthetase,D28473_s_at
GRM5 Glutamate receptor, metabotropic 5,D28539_s_at
PBX2 mRNA,X59842_rna1_s_at
GB DEF = PIG-A-II=glycoinositol phospholipid anchor synthetic element [human, paroxysmal nocturnal hemoglobinuria patient, B lymphocytes, mRNA Partial, 1599 nt],S78467_s_at
Ras GTPase-activating-like protein (IQGAP1) mRNA,D29640_s_at
GB DEF = Inducible nitric oxide synthase gene, promoter and exon 1,D29675_at
GB DEF = Inducible nitric oxide synthase gene, promoter and exon 1,D29675_s_at
TEC gene extracted from Human protein tyrosine kinase TEC (tec) gene, partial cds, and tyrosine kinase TXK (txk) gene,U34380_rna1_s_at
GB DEF = Clone p4betaGT/3 beta-1,4-galactosyltransferase mRNA, partial cds,U10473_s_at
GGTB2 Glycoprotein-4-beta-galactosyltransferase 2,X14085_s_at
ANTITHROMBIN-III PRECURSOR,L00190_s_at
TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR,L27624_s_at
Exon2a from  Human PAP (pancreatitis-associated protein) gene, 5-flanking region./ntype=DNA /annot=exon,D30715_xpt5_s_at
4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,D31628_s_at
ZNF33B gene,X68688_rna1_s_at
AVPR1B Arginine vasopressin receptor 1B,D31833_s_at
GB DEF = (clone CTG-B37) mRNA sequence,L10377_s_at
DRPLA Dentatorubral-pallidoluysian atrophy,D31840_s_at
26 S protease subunit 5b,S79862_s_at
GB DEF = Fas, Apo-1 gene (promoter and exon I),X82279_s_at
NCBP Nuclear cap binding protein, 80kD,D32002_s_at
Transcription Factor Iiia,HG4312-HT4582_s_at
Protein-tyrosine phosphatase HPTPeta,D37781_s_at
Syntaxin 1b,HG4169-HT4439_s_at
RECQL RecQ protein-like (DNA helicase Q1-like),D37984_s_at
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,X62153_s_at
TBXA2R Thromboxane A2 receptor,U27325_s_at
GB DEF = Fas ligand (FasL) mRNA,U11821_s_at
COL19A1 Collagen, type XIX, alpha 1,D38163_s_at
DNA-DIRECTED RNA POLYMERASE II 23 KD POLYPEPTIDE,D38251_s_at
PTGER3 Prostaglandin E receptor 3 (subtype EP3) {alternative products},S68874_s_at
LZTR-1,D38496_s_at
GB DEF = PMS2 related (hPMSR2) gene,U38964_s_at
Protoporphyrinogen oxidase,D38537_s_at
RING3 PROTEIN,S78771_s_at
RING3 PROTEIN,D42040_s_at
RING3 PROTEIN,Z84497_s_at
Very-long-chain acyl-CoA dehydrogenase (VLCAD),D43682_s_at
GB DEF = An acute myeloid leukaemia protein (3917bp),X90976_s_at
MacMarcks mRNA,X89109_s_at
GATA-3 binding protein G3B mRNA, partial cds,U23736_s_at
CALM1 Calmodulin 1 (phosphorylase kinase, delta),M19311_at
CALM1 Calmodulin 1 (phosphorylase kinase, delta),M19311_s_at
TIMP-3, partial cds (C-terminus region),D45917_s_at
Enhancer protein in hsp70 gene, partial cds,D49354_s_at
SCYA11 Small inducible cytokine A11 (eotaxin),D49372_s_at
LEP Leptin (murine obesity homolog),D49487_s_at
GB DEF = HLA-B null allele mRNA,D49824_at
GB DEF = HLA-B null allele mRNA,D49824_s_at
GB DEF = Integral membrane protein (NRAMP1) gene, exon 5,L38593_s_at
GB DEF = Histone deacetylase HD1 mRNA,U50079_s_at
MMP3 Matrix metalloproteinase 3 (stromelysin 1, progelatinase),D50477_s_at
Tumour suppressor protein, HUGL,X86371_s_at
Apolipoprotein E receptor 2,Z75190_s_at
CASR Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism),D50855_s_at
KIAA0139 gene,U58046_s_at
GB DEF = Spleen PABL (pseudoautosomal boundary-like sequence) mRNA, clone Sp2,D55643_s_at
DAGK4 Diacylglycerol kinase delta,D63479_s_at
DNA for cyclophilin 40,D63861_s_at
HsLIM15 mRNA for HsLim15,D63882_s_at
Mxi1 protein,D63940_s_at
GCN5-like 1,S82447_s_at
TIAL1 TIA1 cytotoxic granule-associated RNA-binding protein-like 1,M96954_s_at
Protein-tyrosine phosphatase,Z79693_s_at
Suppressor for yeast mutant,Y10807_s_at
Ras homologue enriched in brain (RHEB) gene, Ras-related GTP binding protein gene,D78132_s_at
YWHAH Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide,D78577_s_at
KIAA0162 gene,D79984_s_at
SB1.8/DXS423E,S78271_s_at
Neurogenic helix-loop-helix protein NEUROD (neurod) gene,U50822_rna1_s_at
Nel-related protein,D83017_s_at
HXC-26 mRNA,D83260_s_at
Myc-associated zinc-finger protein of human islet,D85131_s_at
Transactivator HSM-1,D85425_s_at
Serine/threonine protein kinase,D85759_s_at
Serine/threonine protein kinase,U52373_s_at
SHPS-1,D86043_s_at
SHPS-1,Y10375_s_at
KNP-Ib,D86062_s_at
EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,D86096_cds1_s_at
Prostaglandin Ep3 Receptor, Alt. Splice 8,HG3238-HT4861_s_at
PTGER3 Prostaglandin E receptor 3 (subtype EP3) {alternative products},X83857_s_at
MMP2 Matrix metalloproteinase 2,D86331_s_at
Allograft inflammatory factor-1 (AIF-1) mRNA,U19713_s_at
KIAA0203 gene,Z35085_s_at
KIAA0221 gene,U65533_s_at
Ig light-chain, partial Ke-Oz- polypeptide; Author-given protein sequence is in conflict with the conceptual translation gene extracted from Human lambda-immunoglobulin constant region complex (germline),X51755_cds5_s_at
SMCY (H-Y) mRNA,U52191_s_at
CD24 signal transducer mRNA and 3 region,L33930_s_at
Carnitine palmitoyltransferase I type I,Y08682_rna1_s_at
Steroidogenic factor 1 mRNA,D88155_s_at
Adult tooth pulp of third molar fibroblast mRNA for MSX-2,D89377_at
Adult tooth pulp of third molar fibroblast mRNA for MSX-2,D89377_s_at
CCAAT transcription binding factor subunit gamma,Z74792_s_at
AAC1 Arylamine N-acetyltransferase, liver,X17059_s_at
LRP1 ATL-derived PMA-responsive (APR) peptide,D90070_s_at
GNAZ Guanine nucleotide binding protein (G protein), alpha z polypeptide,J03260_s_at
Non-Specific Cross Reacting Antigen (Gb:D90277), Alt. Splice Form 2,HG1728-HT1734_at
Non-Specific Cross Reacting Antigen (Gb:D90277), Alt. Splice Form 2,HG1728-HT1734_s_at
COL5A1 Collagen, type V, alpha 1,D90279_s_at
GB DEF = C-type natriuretic peptide gene,M64710_s_at
Profilaggrin,HG2271-HT2367_at
Profilaggrin,HG2271-HT2367_s_at
G6PD gene (glucose-6-phosphate dehydrogenase) extracted from H.sapiens G6PD gene for glucose-6-phosphate dehydrogenase,X55448_cds1_s_at
Heterogeneous Nuclear Ribonucleoprotein A/B,HG110-HT110_s_at
Collagen, Type Vi, Alpha 2, Alt. Splice 2,HG1140-HT4817_s_at
Collagen, Type Ii, Alpha 1,HG1227-HT1227_s_at
APOB Apolipoprotein B,M19828_s_at
Small Nuclear Ribonucleoprotein, Polypeptide C, Alt. Splice 2,HG1322-HT5143_s_at
Statherin,HG1327-HT1327_s_at
GB DEF = Sickle cell beta-globin mRNA,M25079_s_at
Globin, Beta,HG1428-HT1428_s_at
Proto-Oncogene Trk,HG1437-HT1437_s_at
Transcription Factor Oct-1a/1b, Alt. Splice 2, Oct-1b,HG1471-HT3923_s_at
Adrenal-Specific Protein Pg2,HG1496-HT1496_s_at
RPS3 Ribosomal protein S3,X57351_at
RPS3 Ribosomal protein S3,X57351_s_at
Heterogeneous Nuclear Ribonucleoprotein I, Alt. Splice 2, Ptb-1,HG1595-HT4788_s_at
AXL AXL receptor tyrosine kinase,M76125_s_at
Hypothetical Protein Npiiy20 (Gb:M76676),HG167-HT167_s_at
Proto-Oncogene Met, Alt. Splice Form 2,HG1747-HT1764_s_at
Chorionic Somatomammotropin Hormone Cs-5,HG1751-HT1768_at
Chorionic Somatomammotropin Hormone Cs-5,HG1751-HT1768_s_at
Interferon-gamma receptor alpha chain gene,U19247_rna1_s_at
Tyrosine Kinase Fer,HG1761-HT1778_s_at
Prolactin-Induced Protein,HG1763-HT1780_s_at
CHGA Chromogranin A,J03915_s_at
PYGB Glycogen phosphorylase B (brain form),U47025_s_at
LAMR1 Laminin receptor (2H5 epitope),M14199_s_at
37 kD laminin receptor precursor/p40 ribosome associated protein gene,U43901_rna1_s_at
Islet Amyloid Polypeptide,HG1783-HT1803_s_at
Cytochrome P450, Subfamily Iic, Alt. Splice Form 2,HG1827-HT1856_s_at
PFKM Phosphofructokinase, muscle,U24183_s_at
CYP2B6 Cytochrome P450, subfamily IIB (phenobarbital-inducible), polypeptide 6,M29874_s_at
Myelin Basic Protein, Alt. Splice Form 4,HG1877-HT1917_s_at
PRG2 Proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein),Z26248_s_at
Proto-Oncogene Sno, Alt. Splice N,HG2007-HT2056_s_at
External Membrane Protein, 130 Kda (Gb:Z22971),HG2090-HT2152_s_at
Galactokinase 2,HG210-HT210_s_at
Myosin, Heavy Polypeptide 10, Non-Muscle,HG2175-HT2245_s_at
Collage, Type Vii, Alpha 1,HG2197-HT2267_s_at
Nuclear Mitotic Apparatus Protein 1, Alt. Splice Form 2,HG2238-HT2321_s_at
Monocyte Chemotactic Protein 1,HG4069-HT4339_s_at
Tubulin, Alpha 1, Isoform 44,HG2259-HT2348_s_at
Duchenne Muscular Dystrophy Protein (Dmd),HG2260-HT2349_s_at
Antigen, Prostate Specific, Alt. Splice Form 2,HG2261-HT2351_s_at
S100A7 S100 calcium-binding protein A7 (psoriasin 1),M86757_s_at
Proto-Oncogene Ets-1, Alt. Splice 2,HG2358-HT4858_s_at
PPP3CA Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha){alternative products},L14778_s_at
Trithorax Homolog Hrx,HG2367-HT2463_s_at
Serine Hydroxymethyltransferase, Cytosolic, Alt. Splice 2,HG2379-HT3996_s_at
Serine Hydroxymethyltransferase, Cytosolic, Alt. Splice 3,HG2379-HT3997_s_at
Adp-Ribosylarginine Hydrolase,HG2380-HT2476_s_at
Cystathionine Beta Synthase, Alt. Splice 3,HG2383-HT4824_s_at
Prostaglandin Receptor Ep1 Subtype,HG2414-HT2510_s_at
Lowe Oculocerebrorenal Syndrome Protein,HG243-HT243_s_at
Retinoblastoma Protein, Mutated,HG2441-HT2537_s_at
TRANSCRIPTION FACTOR AP-2,X52611_s_at
ZONA PELLUCIDA SPERM-BINDING PROTEIN 3A PRECURSOR,U10099_s_at
Helix-Loop-Helix Protein Sef2-1d,HG2479-HT2575_at
Helix-Loop-Helix Protein Sef2-1d,HG2479-HT2575_s_at
DM kinase gene (myotonic dystrophy kinase) extracted from Human myotonic dystrophy kinase (DM kinase) gene,L08835_rna2_s_at
DM Dystrophia myotonica (includes dystrophia myotonia protein kinase),M87313_s_at
CTH Cystathionase (cystathionine gamma-lyase),S52028_s_at
Ras-specific guanine nucleotide-releasing factor,L26584_s_at
KIT V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,X06182_s_at
A-Myb (Gb:X13294),HG2562-HT2658_s_at
B-CELL ANTIGEN RECEPTOR COMPLEX ASSOCIATED PROTEIN ALPHA-CHAIN PRECURSOR,X13451_s_at
Gamma-Aminobutyric Acid (Gaba) A Receptor, Alpha Subunit,HG2564-HT2660_s_at
HOXB1 Homeo box B1,X16666_s_at
GB DEF = Alpha-1 strychnine binding subunit of inhibitory glycine receptor mRNA,X52009_s_at
Transcription Factor Itf-1,HG2591-HT2687_s_at
C-myb gene extracted from Human (c-myb) gene, complete primary cds, and five complete alternatively spliced cds,U22376_cds2_s_at
GB DEF = 17 beta-hydroxysteroid dehydrogenase (17BHSDI) gene, exons 1-5,M29037_s_at
CHRND Cholinergic receptor, nicotinic, delta polypeptide,X55019_s_at
Single-Stranded Dna-Binding Protein Mssp-1,HG2639-HT2735_s_at
Serine/Threonine Protein Kinase Cdk3,HG2649-HT2745_s_at
Receptor tyrosine kinase DDR gene,U48705_rna1_s_at
Putative IL-16 protein precursor, mRNA,M90391_s_at
Serine/Threonine Kinase (Gb:Z25427),HG2705-HT2801_s_at
Lymphocyte Antigen Hla-G3,HG273-HT273_at
Lymphocyte Antigen Hla-G3,HG273-HT273_s_at
Fibrinogen, A Alpha Polypeptide, Alt. Splice 2, E,HG2730-HT2827_s_at
Fibrinogen, A Alpha Polypeptide, Alt. Splice 3, E,HG2730-HT2828_s_at
FGA Fibrinogen, A alpha polypeptide,M58569_s_at
ANK1 Ankyrin 1, erythrocytic,X16609_s_at
Gamma-Glutamyltransferase 1 (Gb:J04131),HG274-HT274_s_at
Caldesmon 1, Alt. Splice 4, Non-Muscle,HG2743-HT2846_s_at
Caldesmon 1, Alt. Splice 6, Non-Muscle,HG2743-HT3926_s_at
CALD1 Caldesmon,M83216_s_at
Clathrin, Light Polypeptide B, Alt. Splice 2,HG2797-HT2906_s_at
Clathrin, Light Polypeptide B, Alt. Splice 1,HG2797-HT2905_at
Clathrin, Light Polypeptide B, Alt. Splice 1,HG2797-HT2905_s_at
SCN6A Sodium channel, voltage-gated, type VI, alpha polypeptide,M91556_s_at
LMNA Lamin A,M13452_s_at
Lung Surfactant Protein D,HG2809-HT2920_s_at
SNRP70 U1 snRNP 70K protein,X04654_s_at
Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Non-Muscle, Alt. Splice 2,HG2815-HT2931_at
Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Non-Muscle, Alt. Splice 2,HG2815-HT2931_s_at
Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Smooth Muscle, Alt. Splice 4,HG2815-HT4023_s_at
FDXR gene (adrenodoxin reductase) extracted from Human adrenodoxin reductase gene,M58509_cds1_s_at
Albumin, Alt. Splice 3, Missplicing In Alloalbumin Venezia,HG2841-HT2969_s_at
GB DEF = mRNA clone with similarity to L-glycerol-3-phosphate:NAD oxidoreductase and albumin gene sequences,U22961_s_at
Albumin, Alt. Splice 1,HG2841-HT2968_s_at
DHFR Dihydrofolate reductase,J00139_s_at
Biliary Glycoprotein, Alt. Splice 5, A,HG2850-HT4814_s_at
Xe7, Pseudoautosomal Gene, Alt. Splice 2,HG2868-HT3012_s_at
NF1 Neurofibromin,M89914_s_at
Epican, Alt. Splice 11,HG2981-HT3127_s_at
Epican, Alt. Splice 12,HG2981-HT3938_s_at
Epican, Alt. Splice 1,HG2981-HT3125_s_at
Vasoactive Intestinal Peptide,HG2987-HT3136_s_at
Elastin, Alt. Splice 2,HG2994-HT4850_s_at
GB DEF = RNA for dermal fibroblast elastin,X52896_s_at
Elastin gene, partial cds and partial 3UTR,U77846_rna1_at
Elastin gene, partial cds and partial 3UTR,U77846_rna1_s_at
Thyroid Peroxidase, Alt. Splice 2,HG2999-HT4756_s_at
DNM1 Dynamin 1,L07807_s_at
Fibronectin, Alt. Splice 1,HG3044-HT3742_s_at
FN1 Fibronectin 1,X02761_s_at
Focal Adhesion Kinase,HG3075-HT3236_s_at
Heterogeneous Nuclear Ribonucleoprotein K, Alt. Splice 1,HG3076-HT3238_s_at
Phosphodiesterase,HG3085-HT3254_s_at
PR264 gene,X75755_rna1_s_at
Atpase, Cu2+ Transporting,HG3105-HT3281_s_at
Plasma Membrane Calcium Pump Hpmca2a,HG3107-HT3283_s_at
Estrogen Receptor (Gb:S67777),HG3125-HT3301_s_at
Major Histocompatibility Complex, Class Iii, Rp1, Alt. Splice 1,HG3148-HT3324_s_at
Tyrosine Phosphatase 1, Non-Receptor, Alt. Splice 3,HG3187-HT3366_s_at
Unknown protein gene extracted from Human ribosomal protein S24 mRNA,M31520_rna1_at
Unknown protein gene extracted from Human ribosomal protein S24 mRNA,M31520_rna1_s_at
Calcium Channel, Voltage-Gated, Alpha 1e Subunit, Alt. Splice 3,HG3242-HT4231_s_at
Calcium Channel, Voltage-Gated, Alpha 1e Subunit, Alt. Splice 2,HG3242-HT3419_s_at
MANB Mannosidase alpha-B (lysosomal),U05572_s_at
Split Gene 1 Enhancer, Tup1-Like,HG3319-HT3496_s_at
Dna-Binding Protein Hrfx2,HG3327-HT3504_s_at
Id1,HG3342-HT3519_s_at
BMP8 Bone morphogenetic protein 8 (osteogenic protein 2),M97016_s_at
Dnaj Homolog (Gb:X63368), Alt. Splice Form 2,HG3395-HT3573_s_at
GB DEF = Myocyte-specific enhancer factor 2 (MEF2),X68505_s_at
Blue Cone Photoreceptor Pigment,HG3412-HT3593_s_at
Gtp Cyclohydrolase I, Alt. Splice 1,HG3417-HT3600_s_at
Zinc Finger Protein Hzf-16, Kruppel-Like, Alt. Splice 1,HG3426-HT3610_s_at
Decorin, Alt. Splice 1,HG3431-HT3616_s_at
Fibroblast Growth Factor Receptor K-Sam, Alt. Splice 3, K-Sam Iii,HG3432-HT3620_s_at
Myelin Proteolipid Protein, Alt. Splice 2,HG3437-HT3628_s_at
Protein Kinase (Gb:M59287),HG3484-HT3678_s_at
Proto-Oncogene C-Myc, Alt. Splice 3, Orf 114,HG3523-HT4899_s_at
