AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. AF047185:Homo sapiens NADH-ubiquinone oxidoreductase subunit CI-B8 mRNA, complete cds /cds=(56,355) /gb=AF047185 /gi=2909861 /ug=Hs.163867 /len=575,40546_s_at
Cluster Incl. AI688516:wc90b03.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2325869 /clone_end=3  /gb=AI688516 /gi=4899810 /ug=Hs.163867 /len=476,40547_at
Cluster Incl. U90028:Homo sapiens bicaudal-D (BICD) mRNA, complete cds /cds=(81,3008) /gb=U90028 /gi=2745975 /ug=Hs.164975 /len=3257,40548_at
Cluster Incl. L04658:Homo sapiens gene sequence /cds=UNKNOWN /gb=L04658 /gi=183068 /ug=Hs.166071 /len=1089,40549_at
Cluster Incl. AA044758:zk73d11.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-488469 /clone_end=5  /gb=AA044758 /gi=1522961 /ug=Hs.166199 /len=520,40550_at
Cluster Incl. AI246894:qx51g06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2004922 /clone_end=3  /gb=AI246894 /gi=3842291 /ug=Hs.166202 /len=557,40551_at
Cluster Incl. AL049987:Homo sapiens mRNA; cDNA DKFZp564F112 (from clone DKFZp564F112) /cds=UNKNOWN /gb=AL049987 /gi=4884238 /ug=Hs.166361 /len=1196,40552_s_at
Cluster Incl. AI742087:wg38g10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2367426 /clone_end=3  /gb=AI742087 /gi=5110375 /ug=Hs.166361 /len=547,40553_at
Cluster Incl. U55853:Homo sapiens 130 kD Golgi-localized phosphoprotein (GPP130) mRNA, complete cds /cds=(13,2103) /gb=U55853 /gi=2145094 /ug=Hs.166686 /len=2506,40554_at
Cluster Incl. AL043108:DKFZp434C0823_r1 Homo sapiens cDNA, 5  end /clone=DKFZp434C0823 /clone_end=5  /gb=AL043108 /gi=5422524 /ug=Hs.166982 /len=762,40555_at
Cluster Incl. D42073:Human mRNA for reticulocalbin, complete cds /cds=(52,1047) /gb=D42073 /gi=1262328 /ug=Hs.167791 /len=2104,40556_at
Cluster Incl. W28792:52f3 Homo sapiens cDNA /gb=W28792 /gi=1308803 /ug=Hs.167985 /len=782,40557_at
Cluster Incl. W28227:43h1 Homo sapiens cDNA /gb=W28227 /gi=1308175 /ug=Hs.167985 /len=843,40558_at
Cluster Incl. AL096727:Homo sapiens mRNA; cDNA DKFZp434B104 (from clone DKFZp434B104) /cds=UNKNOWN /gb=AL096727 /gi=5419860 /ug=Hs.168249 /len=1681,40559_at
Cluster Incl. U28049:Human TBX2 (TXB2) mRNA, complete cds /cds=(47,2155) /gb=U28049 /gi=924927 /ug=Hs.168357 /len=2279,40560_at
Cluster Incl. AA631074:nq77d10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1158355 /clone_end=3  /gb=AA631074 /gi=2553685 /ug=Hs.168586 /len=492,40561_at
Cluster Incl. M69013:Human guanine nucleotide-binding regulatory protein (G-y-alpha) mRNA, complete cds /cds=(186,1265) /gb=M69013 /gi=183690 /ug=Hs.1686 /len=1540,40562_at
Cluster Incl. AL050007:Homo sapiens mRNA; cDNA DKFZp564A043 (from clone DKFZp564A043) /cds=(0,296) /gb=AL050007 /gi=4884076 /ug=Hs.169329 /len=871,40563_at
Cluster Incl. N42007:yw69e06.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-257506 /clone_end=5  /gb=N42007 /gi=1166038 /ug=Hs.169329 /len=553,40564_at
Cluster Incl. AI358867:qy24a09.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2012920 /clone_end=3  /gb=AI358867 /gi=4110488 /ug=Hs.169401 /len=776,40565_at
Cluster Incl. AW003761:ws16f04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2497375 /clone_end=3  /gb=AW003761 /gi=5850677 /ug=Hs.169449 /len=637,40566_at
Cluster Incl. X01703:Human gene for alpha-tubulin (b alpha 1) /cds=(213,1568) /gb=X01703 /gi=37491 /ug=Hs.169476 /len=1764,40567_at
Cluster Incl. L35249:Homo sapiens vacuolar H+-ATPase Mr 56,000 subunit (HO57) mRNA, complete cds /cds=(3,1538) /gb=L35249 /gi=522192 /ug=Hs.1697 /len=2820,40568_at
Cluster Incl. M58297:Human zinc finger protein 42 (MZF-1) mRNA, complete cds /cds=(1090,2547) /gb=M58297 /gi=189043 /ug=Hs.169832 /len=2678,40569_at
Cluster Incl. AF032885:Homo sapiens forkhead protein (FKHR) mRNA, complete cds /cds=(385,2352) /gb=AF032885 /gi=2895491 /ug=Hs.170133 /len=5723,40570_at
Cluster Incl. U90942:Human myosin heavy chain 12 (MYO5A) mRNA, complete cds /cds=(250,5817) /gb=U90942 /gi=4099879 /ug=Hs.170157 /len=6401,40571_at
Cluster Incl. N51314:yz15b04.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-283087 /clone_end=3  /gb=N51314 /gi=1192480 /ug=Hs.170241 /len=472,40572_at
Cluster Incl. W28161:42h10 Homo sapiens cDNA /gb=W28161 /gi=1308109 /ug=Hs.170267 /len=687,40573_s_at
Cluster Incl. AA868268:ak40a05.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1408400 /clone_end=3  /gb=AA868268 /gi=2963713 /ug=Hs.170267 /len=570,40574_at
Cluster Incl. AB011155:Homo sapiens mRNA for KIAA0583 protein, partial cds /cds=(0,3845) /gb=AB011155 /gi=3043689 /ug=Hs.170290 /len=5493,40575_at
Cluster Incl. D89678:Homo sapiens mRNA for A+U-rich element RNA binding factor, complete cds /cds=(57,872) /gb=D89678 /gi=3218539 /ug=Hs.170311 /len=2439,40576_f_at
Cluster Incl. AI951046:wx62g06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2548282 /clone_end=3  /gb=AI951046 /gi=5743356 /ug=Hs.170453 /len=791,40577_at
Cluster Incl. M77016:Human tropomodulin mRNA, complete cds /cds=(34,1113) /gb=M77016 /gi=339947 /ug=Hs.170453 /len=2665,40578_s_at
Cluster Incl. L42025:Homo sapiens cellular co-factor (RAB) gene, complete cds /cds=(243,1931) /gb=L42025 /gi=945222 /ug=Hs.171545 /len=2583,40579_at
Cluster Incl. M24398:Human parathymosin mRNA, complete cds /cds=(300,608) /gb=M24398 /gi=339698 /ug=Hs.171814 /len=1109,40580_r_at
Cluster Incl. U42390:Homo sapiens Trio mRNA, complete cds /cds=(66,8651) /gb=U42390 /gi=3522969 /ug=Hs.171957 /len=8906,40581_at
Cluster Incl. AI806482:wf08e12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2350030 /clone_end=3  /gb=AI806482 /gi=5393048 /ug=Hs.171992 /len=791,40582_at
Cluster Incl. U10886:Human density enhanced phosphatase-1 mRNA, complete cds /cds=(349,4362) /gb=U10886 /gi=1685074 /ug=Hs.171992 /len=5117,40583_at
Cluster Incl. Y08612:Homo sapiens mRNA for nuclear pore complex protein 88 (Nup88 gene) /cds=(48,2273) /gb=Y08612 /gi=5541878 /ug=Hs.172108 /len=2378,40584_at
Cluster Incl. D25538:Human mRNA for KIAA0037 gene, complete cds /cds=(265,3507) /gb=D25538 /gi=436217 /ug=Hs.172199 /len=6196,40585_at
Cluster Incl. N32257:yy28d09.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-272561 /clone_end=3  /gb=N32257 /gi=1152656 /ug=Hs.172247 /len=639,40586_at
Cluster Incl. AF054186:Homo sapiens p18 protein mRNA, complete cds /cds=(28,552) /gb=AF054186 /gi=3342007 /ug=Hs.172247 /len=840,40587_s_at
Cluster Incl. AF054186:Homo sapiens p18 protein mRNA, complete cds /cds=(28,552) /gb=AF054186 /gi=3342007 /ug=Hs.172247 /len=840,40588_r_at
Cluster Incl. U40572:Human beta2-syntrophin (SNT B2) mRNA, complete cds /cds=(20,1642) /gb=U40572 /gi=1145729 /ug=Hs.172278 /len=1700,40589_at
Cluster Incl. AA166687:zq41h05.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-632313 /clone_end=3  /gb=AA166687 /gi=1745142 /ug=Hs.172405 /len=703,40590_at
Cluster Incl. S78234:nuc2 homolog [human, fibroblasts, mRNA, 3320 nt] /cds=(100,2574) /gb=S78234 /gi=998471 /ug=Hs.172405 /len=3320,40591_at
Cluster Incl. L13329:Homo sapiens iduronate-2-sulfatase (IDS) gene /cds=(331,1983) /gb=L13329 /gi=405204 /ug=Hs.172458 /len=2504,40592_at
Cluster Incl. X66975:H.sapiens mRNA for heterogeneous nuclear ribonucleoprotein /cds=(87,1760) /gb=X66975 /gi=32353 /ug=Hs.172550 /len=3260,40593_at
Cluster Incl. Z22533:H.sapiens ALK-1 mRNA /cds=(282,1793) /gb=Z22533 /gi=402196 /ug=Hs.172670 /len=1970,40594_r_at
Cluster Incl. AI345337:tb81g11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2060804 /clone_end=3  /gb=AI345337 /gi=4082543 /ug=Hs.172727 /len=561,40595_at
Cluster Incl. U76366:Human Treacher Collins syndrome (TCOF1) mRNA, complete cds /cds=(75,4310) /gb=U76366 /gi=1685048 /ug=Hs.172727 /len=4816,40596_at
Cluster Incl. U76366:Human Treacher Collins syndrome (TCOF1) mRNA, complete cds /cds=(75,4310) /gb=U76366 /gi=1685048 /ug=Hs.172727 /len=4816,40597_g_at
Cluster Incl. W20138:zb40d12.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-306071 /clone_end=5  /gb=W20138 /gi=1296008 /ug=Hs.172803 /len=693,40598_at
Cluster Incl. AL109669:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 31839 /cds=UNKNOWN /gb=AL109669 /gi=5689801 /ug=Hs.172803 /len=2756,40599_at
Cluster Incl. AW024467:wu76g06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-990893 /clone_end=3  /gb=AW024467 /gi=5877997 /ug=Hs.172847 /len=582,40600_at
Cluster Incl. AI057115:oz23g10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1676226 /clone_end=3  /gb=AI057115 /gi=3330991 /ug=Hs.173063 /len=632,40601_at
Cluster Incl. AF052178:Homo sapiens clone 24523 mRNA sequence /cds=UNKNOWN /gb=AF052178 /gi=3360489 /ug=Hs.173108 /len=1464,40602_at
Cluster Incl. AI338521:qq92h06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1938875 /clone_end=3  /gb=AI338521 /gi=4075448 /ug=Hs.173108 /len=508,40603_at
Cluster Incl. Y13493:Homo sapiens mRNA for protein kinase Dyrk2 /cds=(379,1965) /gb=Y13493 /gi=2190410 /ug=Hs.173135 /len=3615,40604_at
Cluster Incl. AA524345:ng43a06.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-937522 /clone_end=3  /gb=AA524345 /gi=2265273 /ug=Hs.173242 /len=632,40605_at
Cluster Incl. U88629:Human RNA polymerase II elongation factor ELL2, complete cds /cds=(0,1922) /gb=U88629 /gi=1946346 /ug=Hs.173334 /len=1923,40606_at
Cluster Incl. U97105:Homo sapiens N2A3 mRNA, complete cds /cds=(1336,3054) /gb=U97105 /gi=2967518 /ug=Hs.173381 /len=5407,40607_at
Cluster Incl. AA013087:ze27c09.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-360208 /clone_end=5  /gb=AA013087 /gi=1474123 /ug=Hs.173415 /len=579,40608_at
Cluster Incl. AI475497:tj92g12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2149030 /clone_end=3  /gb=AI475497 /gi=4328542 /ug=Hs.173421 /len=507,40609_at
Cluster Incl. AI743507:wf72a06.x2 Homo sapiens cDNA, 3  end /clone=IMAGE-2361106 /clone_end=3  /gb=AI743507 /gi=5111795 /ug=Hs.173518 /len=733,40610_at
Cluster Incl. W27456:31c10 Homo sapiens cDNA /gb=W27456 /gi=1307260 /ug=Hs.173518 /len=784,40611_s_at
Cluster Incl. AB029040:Homo sapiens mRNA for KIAA1117 protein, partial cds /cds=(0,4135) /gb=AB029040 /gi=5689570 /ug=Hs.173637 /len=4440,40612_at
Cluster Incl. AL031775:dJ30M3.2 (novel protein) /cds=(0,260) /gb=AL031775 /gi=4071041 /ug=Hs.173685 /len=1537,40613_at
Cluster Incl. X75342:H.sapiens SHB mRNA /cds=(310,2100) /gb=X75342 /gi=406737 /ug=Hs.173752 /len=2306,40614_at
Cluster Incl. AA780049:zj24f06.s1 Homo sapiens cDNA, 3  end /clone=451235 /clone_end=3  /gb=AA780049 /gi=2839380 /ug=Hs.173987 /len=587,40615_at
Cluster Incl. U97670:Homo sapiens eukaryotic translation initiation factor eIF3, p35 subunit mRNA, complete cds /cds=(60,836) /gb=U97670 /gi=3264860 /ug=Hs.173987 /len=2422,40616_at
Cluster Incl. AC004381:Homo sapiens Chromosome 16 BAC clone CIT987SK-44M2 /cds=(396,1124) /gb=AC004381 /gi=2982169 /ug=Hs.173992 /len=2112,40617_at
Cluster Incl. H15872:ym22b12.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-48838 /clone_end=5  /gb=H15872 /gi=880692 /ug=Hs.174050 /len=623,40618_at
Cluster Incl. M91670:Human ubiquitin carrier protein (E2-EPF) mRNA, complete cds /cds=(59,736) /gb=M91670 /gi=181915 /ug=Hs.174070 /len=890,40619_at
Cluster Incl. AI830113:wj67e07.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2407908 /clone_end=3  /gb=AI830113 /gi=5450784 /ug=Hs.176090 /len=575,40620_at
Cluster Incl. U63809:Homo sapiens prostate apoptosis response protein par-4 mRNA, complete cds /cds=(238,1266) /gb=U63809 /gi=3282204 /ug=Hs.176090 /len=1719,40621_at
Cluster Incl. AL096740:Homo sapiens mRNA; cDNA DKFZp586K2123 (from clone DKFZp586K2123) /cds=UNKNOWN /gb=AL096740 /gi=5419896 /ug=Hs.17639 /len=3766,40622_r_at
Cluster Incl. AI749193:at40e04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2374494 /clone_end=3  /gb=AI749193 /gi=5127457 /ug=Hs.17639 /len=544,40623_at
Cluster Incl. U48250:Human protein kinase C-binding protein RACK17 mRNA, partial cds /cds=(0,1005) /gb=U48250 /gi=1199656 /ug=Hs.176977 /len=2085,40624_at
Cluster Incl. W25974:17d4 Homo sapiens cDNA /gb=W25974 /gi=1306241 /ug=Hs.17713 /len=766,40625_f_at
Cluster Incl. AI693193:wd68f02.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2336763 /clone_end=3  /gb=AI693193 /gi=4970533 /ug=Hs.17713 /len=507,40626_at
Cluster Incl. AI192108:qa06d10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1685971 /clone_end=3  /gb=AI192108 /gi=3743317 /ug=Hs.177507 /len=828,40627_at
Cluster Incl. AA322648:EST25325 Homo sapiens cDNA, 5  end /clone=ATCC-123174 /clone_end=5  /gb=AA322648 /gi=1974985 /ug=Hs.177837 /len=335,40628_at
Cluster Incl. L19783:Human GPI-H mRNA, complete cds /cds=(60,626) /gb=L19783 /gi=404725 /ug=Hs.177 /len=1394,40629_at
Cluster Incl. AI653713:wb36e04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2307774 /clone_end=3  /gb=AI653713 /gi=4737692 /ug=Hs.177 /len=547,40630_at
Cluster Incl. D38305:Human mRNA for Tob, complete cds /cds=(43,1080) /gb=D38305 /gi=1580723 /ug=Hs.178137 /len=1206,40631_at
Cluster Incl. L20860:Human glycoprotein Ib beta mRNA, complete cds /cds=(636,1871) /gb=L20860 /gi=438627 /ug=Hs.178382 /len=2793,40632_at
Cluster Incl. U79246:Human clone 23799 mRNA sequence /cds=UNKNOWN /gb=U79246 /gi=1710193 /ug=Hs.179566 /len=1809,40633_at
Cluster Incl. M86667:H.sapiens NAP (nucleosome assembly protein) mRNA, complete cds /cds=(75,1250) /gb=M86667 /gi=189066 /ug=Hs.179662 /len=1560,40634_at
Cluster Incl. AF089750:Homo sapiens flotillin-1 mRNA, complete cds /cds=(164,1447) /gb=AF089750 /gi=3599572 /ug=Hs.179986 /len=1796,40635_at
Cluster Incl. AI807620:wf49b01.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2358889 /clone_end=3  /gb=AI807620 /gi=5394186 /ug=Hs.179986 /len=735,40636_at
Cluster Incl. Y00371:Human hsc70 gene for 71 kd heat shock cognate protein /cds=(83,2023) /gb=Y00371 /gi=32466 /ug=Hs.180414 /len=2024,40637_at
Cluster Incl. X70944:H.sapiens mRNA for PTB-associated splicing factor /cds=(85,2208) /gb=X70944 /gi=38457 /ug=Hs.180610 /len=3071,40638_at
Cluster Incl. AL021683:Homo sapiens cDNA homologous to Yeast SCO1 & SCO2 genes and C.elegans C01F1.2 gene /cds=(85,885) /gb=AL021683 /gi=3217033 /ug=Hs.180903 /len=931,40639_at
Cluster Incl. U62317:Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence /cds=(0,1601) /gb=U62317 /gi=1399959 /ug=Hs.180903 /len=2223,40640_at
Cluster Incl. AF038362:Homo sapiens TBP-associated factor 172 (TAF-172) mRNA, complete cds /cds=(117,5666) /gb=AF038362 /gi=2920586 /ug=Hs.180930 /len=6345,40641_at
Cluster Incl. AI312646:qp77f01.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1929049 /clone_end=3  /gb=AI312646 /gi=4018251 /ug=Hs.181104 /len=498,40642_at
Cluster Incl. W28230:43h12 Homo sapiens cDNA /gb=W28230 /gi=1308178 /ug=Hs.18113 /len=840,40883_at
Cluster Incl. W28230:43h12 Homo sapiens cDNA /gb=W28230 /gi=1308178 /ug=Hs.18113 /len=840,40884_g_at
Cluster Incl. N30151:yx81f01.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-268153 /clone_end=3  /gb=N30151 /gi=1148671 /ug=Hs.18113 /len=592,40885_s_at
Cluster Incl. L41498:Homo sapiens longation factor 1-alpha 1 (PTI-1) mRNA, complete cds /cds=(620,1816) /gb=L41498 /gi=927066 /ug=Hs.181165 /len=2106,40886_at
Cluster Incl. L41498:Homo sapiens longation factor 1-alpha 1 (PTI-1) mRNA, complete cds /cds=(620,1816) /gb=L41498 /gi=927066 /ug=Hs.181165 /len=2106,40887_g_at
Cluster Incl. W28170:43a12 Homo sapiens cDNA /gb=W28170 /gi=1308118 /ug=Hs.181165 /len=912,40888_f_at
Cluster Incl. J03060:Human glucocerebrosidase (GCB) gene /cds=(229,1839) /gb=J03060 /gi=183011 /ug=Hs.181246 /len=3114,40889_at
Cluster Incl. U46920:Human metaxin (MTX) gene, complete cds /cds=(0,953) /gb=U46920 /gi=1326107 /ug=Hs.181246 /len=1065,40890_at
Cluster Incl. X92896:H.sapiens mRNA for ITBA2 protein /cds=(10,327) /gb=X92896 /gi=1488609 /ug=Hs.18212 /len=599,40891_f_at
Cluster Incl. N91508:za91e09.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-299944 /clone_end=3  /gb=N91508 /gi=1444835 /ug=Hs.18212 /len=502,40892_s_at
Cluster Incl. AF058953:Homo sapiens ATP-specific succinyl-CoA synthetase beta subunit (SCS) mRNA, partial cds /cds=(0,1280) /gb=AF058953 /gi=3766196 /ug=Hs.182217 /len=1995,40893_at
Cluster Incl. AI393342:tg44c04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2111622 /clone_end=3  /gb=AI393342 /gi=4222889 /ug=Hs.182234 /len=536,40894_at
Cluster Incl. AI393342:tg44c04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2111622 /clone_end=3  /gb=AI393342 /gi=4222889 /ug=Hs.182234 /len=536,40895_g_at
Cluster Incl. X13403:Human mRNA for octamer-binding protein Oct-1 /cds=(59,2290) /gb=X13403 /gi=35126 /ug=Hs.182237 /len=2568,40896_at
Cluster Incl. M26061:Human cGMP phosphodiesterase alpha subunit (CGPR-A) mRNA, complete cds /cds=(120,2702) /gb=M26061 /gi=2366986 /ug=Hs.182240 /len=2994,40897_at
Cluster Incl. U46751:Human phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA, complete cds /cds=(52,1374) /gb=U46751 /gi=3077821 /ug=Hs.182248 /len=2037,40898_at
Cluster Incl. Y00503:Human mRNA for keratin 19 /cds=(32,1234) /gb=Y00503 /gi=34038 /ug=Hs.182265 /len=1360,40899_at
Cluster Incl. AI382123:te30a09.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2087416 /clone_end=3  /gb=AI382123 /gi=4194904 /ug=Hs.182919 /len=857,40900_at
Cluster Incl. U17989:Homo sapiens nuclear autoantigen GS2NA mRNA, complete cds /cds=(204,2345) /gb=U17989 /gi=805094 /ug=Hs.183105 /len=3875,40901_at
Cluster Incl. AL050082:Homo sapiens mRNA; cDNA DKFZp566J2446 (from clone DKFZp566J2446) /cds=UNKNOWN /gb=AL050082 /gi=4884316 /ug=Hs.183106 /len=1113,40902_at
Cluster Incl. AL049929:Homo sapiens mRNA; cDNA DKFZp547O0510 (from clone DKFZp547O0510) /cds=(0,994) /gb=AL049929 /gi=4884174 /ug=Hs.183434 /len=1874,40903_at
Cluster Incl. AI857673:wk96c02.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2423234 /clone_end=3  /gb=AI857673 /gi=5511289 /ug=Hs.183438 /len=493,40904_at
Cluster Incl. AL050369:Homo sapiens mRNA; cDNA DKFZp566J153 (from clone DKFZp566J153) /cds=(35,1534) /gb=AL050369 /gi=4914603 /ug=Hs.183438 /len=1815,40905_s_at
Cluster Incl. AC002310:Human Chromosome 16 BAC clone CIT987SK-A-635H12 /cds=(0,2348) /gb=AC002310 /gi=2576342 /ug=Hs.183755 /len=2349,40906_at
Cluster Incl. AA043502:zk66d10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-487795 /clone_end=3  /gb=AA043502 /gi=1521426 /ug=Hs.183755 /len=645,40907_at
Cluster Incl. U58090:Human Hs-cul-4A mRNA, partial cds /cds=(0,1266) /gb=U58090 /gi=1381147 /ug=Hs.183874 /len=1630,40908_r_at
Cluster Incl. AI762248:wh63c10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2385426 /clone_end=3  /gb=AI762248 /gi=5177915 /ug=Hs.184075 /len=478,40909_at
Cluster Incl. U56637:Human capping protein alpha subunit isoform 1 mRNA, complete cds /cds=(0,860) /gb=U56637 /gi=1336098 /ug=Hs.184270 /len=2366,40910_at
Cluster Incl. AA167197:zp06c09.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-595600 /clone_end=3  /gb=AA167197 /gi=1745704 /ug=Hs.184552 /len=555,40911_at
Cluster Incl. X81372:H.sapiens mRNA for biphenyl hydrolase-related protein /cds=(212,1036) /gb=X81372 /gi=984662 /ug=Hs.184552 /len=1508,40912_s_at
Cluster Incl. W28589:48h12 Homo sapiens cDNA /gb=W28589 /gi=1308537 /ug=Hs.184567 /len=965,40913_at
Cluster Incl. W27956:40a10 Homo sapiens cDNA /gb=W27956 /gi=1307904 /ug=Hs.184567 /len=787,40914_s_at
Cluster Incl. Y00272:Human cell cycle control gene CDC2 /cds=(126,1019) /gb=Y00272 /gi=29840 /ug=Hs.184572 /len=1050,40915_r_at
Cluster Incl. AL035494:Human DNA sequence from clone 635G19 on chromosome Xq22.1-22.3 Contains a LAMR1 (Laminin Receptor 1 (67kD) (RPSA, 40S Ribosomal Protein SA, P40)) pseudogene and part of a novel protein. Contains ESTs and GSSs /cds=(0,570) /gb=AL035494 /gi=4775622 /ug=Hs.184736 /len=1253,40916_at
Cluster Incl. W28775:51g7 Homo sapiens cDNA /gb=W28775 /gi=1308741 /ug=Hs.184793 /len=939,40917_at
Cluster Incl. W28251:44b4 Homo sapiens cDNA /gb=W28251 /gi=1308199 /ug=Hs.184793 /len=853,40918_at
Cluster Incl. M81830:Human somatostatin receptor isoform 2 (SSTR2) gene, complete cds /cds=(0,1109) /gb=M81830 /gi=307435 /ug=Hs.184841 /len=1110,40919_at
Cluster Incl. AF023158:Homo sapiens tyrosine phosphatase (cdc14B) mRNA, complete cds /cds=(0,1379) /gb=AF023158 /gi=2662462 /ug=Hs.184917 /len=2646,40920_at
Cluster Incl. AI739548:wi23d06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2391083 /clone_end=3  /gb=AI739548 /gi=5101529 /ug=Hs.184917 /len=610,40921_at
Cluster Incl. AF010235:Homo sapiens mRNA from chromosome 5q31-33 region /cds=UNKNOWN /gb=AF010235 /gi=2707622 /ug=Hs.18593 /len=1184,40922_at
Cluster Incl. AA290994:zs45d07.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-700429 /clone_end=5  /gb=AA290994 /gi=1938990 /ug=Hs.18593 /len=545,40923_at
Cluster Incl. AL120374:DKFZp761C088_r1 Homo sapiens cDNA, 5  end /clone=DKFZp761C088 /clone_end=5  /gb=AL120374 /gi=5926273 /ug=Hs.18653 /len=782,40924_at
Cluster Incl. AA554945:ni36d11.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-978933 /clone_end=3  /gb=AA554945 /gi=2325484 /ug=Hs.18745 /len=555,40925_at
Cluster Incl. U36341:Human Xq28 cosmid, creatine transporter (SLC6A8) gene, complete cds, and CDM gene, partial cds /cds=(638,2545) /gb=U36341 /gi=1020318 /ug=Hs.187958 /len=3917,40926_at
Cluster Incl. W26324:28h9 Homo sapiens cDNA /gb=W26324 /gi=1307086 /ug=Hs.187958 /len=808,40927_at
Cluster Incl. W26496:30d2 Homo sapiens cDNA /gb=W26496 /gi=1307195 /ug=Hs.187991 /len=825,40928_at
Cluster Incl. AI365246:qz41d07.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2029453 /clone_end=3  /gb=AI365246 /gi=4124935 /ug=Hs.187991 /len=682,40929_at
Cluster Incl. W25958:18h6 Homo sapiens cDNA /gb=W25958 /gi=1306360 /ug=Hs.189810 /len=768,40930_at
Cluster Incl. AL080084:Homo sapiens mRNA; cDNA DKFZp564G2362 (from clone DKFZp564G2362) /cds=UNKNOWN /gb=AL080084 /gi=5262498 /ug=Hs.189954 /len=2500,40931_at
Cluster Incl. H18080:ym38h10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-50768 /clone_end=3  /gb=H18080 /gi=884320 /ug=Hs.19066 /len=586,40932_at
Cluster Incl. W29089:56c3 Homo sapiens cDNA /gb=W29089 /gi=1309055 /ug=Hs.19066 /len=864,40933_f_at
Cluster Incl. W26097:22f1 Homo sapiens cDNA /gb=W26097 /gi=1306643 /ug=Hs.19210 /len=719,40934_at
Cluster Incl. W28516:47h7 Homo sapiens cDNA /gb=W28516 /gi=1308464 /ug=Hs.19210 /len=915,40935_at
Cluster Incl. AI651806:wb55f10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2309611 /clone_end=3  /gb=AI651806 /gi=4735797 /ug=Hs.19280 /len=609,40936_at
Cluster Incl. AA160056:zo84f11.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-593613 /clone_end=3  /gb=AA160056 /gi=1734521 /ug=Hs.192818 /len=459,40937_at
Cluster Incl. Y13835:Homo sapiens mRNA for farnesylated-proteins converting enzyme 2 /cds=(13,1002) /gb=Y13835 /gi=5327060 /ug=Hs.192823 /len=1439,40938_at
Cluster Incl. AI831048:wj62b12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2407391 /clone_end=3  /gb=AI831048 /gi=5451719 /ug=Hs.192823 /len=538,40939_at
Cluster Incl. AI627354:ty75d06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2284907 /clone_end=3  /gb=AI627354 /gi=4664154 /ug=Hs.193207 /len=517,40940_at
Cluster Incl. W27026:19d10 Homo sapiens cDNA /gb=W27026 /gi=1306398 /ug=Hs.193207 /len=677,40941_at
Cluster Incl. W27026:19d10 Homo sapiens cDNA /gb=W27026 /gi=1306398 /ug=Hs.193207 /len=677,40942_g_at
